city,town,district,neighborhood
bartin,merkez,merkezkoyler,kasapoglu mah (kutlubeydemirci koyu)
osmaniye,sumbas,merkezkoyler,terelik mah (gafarli koyu)
sanliurfa,birecik,merkez,hoca serif mah
siirt,merkez,merkezkoyler,kayacik mah (saritepe koyu)
bartin,merkez,merkezkoyler,yukari mah (epcilerkadi koyu)
sinop,duragan,merkezkoyler,ulupinar koyu
giresun,piraziz,merkezkoyler,armutduzu mah (yunusemre koyu)
manisa,salihli,poyraz,hacikoseli mah
kayseri,tomarza,merkez,guzelce mah
usak,merkez,merkezkoyler,abdiller mah (zahman koyu)
sanliurfa,viransehir,merkez,aslanbaba mah
gaziantep,oguzeli,merkez,kayalipinar mah
bolu,mudurnu,merkezkoyler,orman isletme mah (kilozu koyu)
erzurum,hinis,merkez,goller mah
bursa,yildirim,setbasi,namazgah mah
bingol,genc,merkezkoyler,kavacik mah (cevirme koyu)
ankara,bala,merkez,yeniyapancarsak mah
usak,merkez,cumhuriyet,karaagac mah
kocaeli,kandira,merkez,balci mah
erzurum,aziziye,ilica,ozbek mah
bitlis,hizan,merkez,kultur mah
sanliurfa,akcakale,merkez,asagicinpolat mah
igdir,tuzluca,merkezkoyler,asagi ciyrikli koyu
duzce,akcakoca,merkezkoyler,battallar mah (karatavuk koyu)
karabuk,safranbolu,merkez,yenimahalle mah
siirt,pervari,merkezkoyler,narsuyu koyu
kahramanmaras,dulkadiroglu,sanayi,dulkadiroglu mah
sakarya,sogutlu,merkez,findikli mah
sivas,merkez,merkez-koyler,yanalak koyu
sivas,imranli,merkezkoyler,akcakale koyu
gumushane,merkez,merkezkoyler,yukari havriya mah (haskoy koyu)
ankara,altindag,haskoy,altinpark mah
samsun,salipazari,merkez,kuscugaz mah
erzincan,kemah,merkezkoyler,kedek koyu
yalova,armutlu,merkez,50. yil mah
kutahya,simav,merkezkoyler,golkoy koyu
sivas,koyulhisar,merkezkoyler,caliskanlar mah (kadife koyu)
elazig,merkez,izzetpasa,izzet pasa mah
afyonkarahisar,merkez,sulumenli,cumhuriyet mah (sulumenli koyu)
karabuk,eflani,merkezkoyler,merkez mah (alacat koyu)
izmir,kemalpasa,merkez,yenmis mah
bilecik,golpazari,merkezkoyler,keskin koyu
hatay,dortyol,merkez,numune evler mah
adana,yuregir,bahcelievler,dede korkut mah
elazig,sivrice,merkezkoyler,asaf mah (gelindere koyu)
giresun,kesap,merkezkoyler,kavacik mah (armutduzu koyu)
adana,karatas,merkez,meletmez mah
kastamonu,ihsangazi,merkezkoyler,guney mah (haydarlar koyu)
kocaeli,kandira,merkez,kizilcapinar mah
giresun,tirebolu,merkezkoyler,gobelli orta mah (halacli koyu)
cankiri,kursunlu,merkezkoyler,madenli koyu
diyarbakir,cermik,merkez,incili mah
bitlis,hizan,merkezkoyler,cevizli mah (kalkanli koyu)
kastamonu,merkez,merkezkoyler,demirci mah (hatipoglu koyu)
kocaeli,dilovasi,merkez,orhangazi mah
sirnak,cizre,merkez,ali bey mah
izmir,konak,kemeralti,kestelli mah
bolu,gerede,merkezkoyler,isikli yaylasi mah (ulaslar koyu)
bitlis,tatvan,yelkenli,egritas koyu
sanliurfa,harran,merkez,agcil mah
ordu,gulyali,merkez,ambarcili mah
kastamonu,catalzeytin,merkezkoyler,cikislar mah (saraclar koyu)
yozgat,merkez,merkezkoyler,musabeylibogazi koyu
duzce,akcakoca,merkezkoyler,kirazli koyu
sanliurfa,bozova,yaylak,gozenek mah
agri,taslicay,merkezkoyler,gultepe mah (samanyolu koyu)
istanbul,bagcilar,gunesli,baglar mah
usak,esme,merkezkoyler,taskoy mah (bozlar koyu)
kastamonu,tosya,merkez,kuzyaka mah
istanbul,beykoz,polonezkoy,ogumce mah
adana,ceyhan,buyukmangit,catalhuyuk mah
mugla,yatagan,merkez,katranci mah
zonguldak,kozlu,merkez,ihsaniye mah
bolu,merkez,merkezkoyler,merkez mah (kopruculer koyu)
sanliurfa,harran,merkez,taninmis mah
kastamonu,cide,merkezkoyler,kizilovaz mah (guzelyayla koyu)
giresun,yaglidere,merkezkoyler,caglayan mah (uctepe koyu)
aydin,cine,merkez,hasanlar mah
karabuk,safranbolu,merkezkoyler,karsiyaka mah (bostanbuku koyu)
gaziantep,karkamis,merkez,yarimca mah
ordu,golkoy,merkez,ahmetli mah
hatay,hassa,merkez,ardicli mah
kirklareli,luleburgaz,merkezkoyler,ayvali koyu
karabuk,ovacik,merkezkoyler,doruk mah (hatipoglu koyu)
zonguldak,devrek,merkezkoyler,belen mah (bilik koyu)
bitlis,mutki,merkezkoyler,arpaliseki mah (kavakbasi koyu)
bursa,buyukorhan,merkez,yenice mah
adiyaman,merkez,imamaga,malazgirt mah
canakkale,merkez,merkezkoyler,dortyol mah (isiklar koyu)
kastamonu,ihsangazi,merkezkoyler,obruk mah (obruk koyu)
artvin,savsat,merkezkoyler,tavgola mah (ciftlik koyu)
tunceli,nazimiye,merkezkoyler,akyaprak mah (yazgeldi koyu)
trabzon,tonya,merkez,cayirici mah
giresun,tirebolu,merkezkoyler,maden mah (kuskunlu koyu)
gumushane,torul,merkezkoyler,camdibi yaylasi mah (yildiz koyu)
erzincan,merkez,merkezkoyler,balli koyu
kastamonu,merkez,kuzeykent,kuzeykent mah
gumushane,torul,merkezkoyler,usluca yaylasi mah (tokcam koyu)
mugla,milas,merkez,gokceler mah
kayseri,talas,talas koyler,comlekci mah
nigde,merkez,afetevleri,asagi kayabasi mah
hatay,kirikhan,merkez,408 evler mah
kastamonu,catalzeytin,merkezkoyler,merkez mah (hacireis koyu)
sanliurfa,siverek,merkez,uzunziyaret mah
denizli,honaz,merkez,karacay mah
bartin,merkez,kozcagiz,musaoglu mah (hasanefendi koyu)
van,muradiye,merkez,ulusar mah
agri,diyadin,merkezkoyler,kom mah (surenkok koyu)
gumushane,torul,merkezkoyler,kurtduzu mah (demirkapi koyu)
karabuk,safranbolu,merkez,asagitokatlibaglari mah
isparta,sarkikaraagac,merkezkoyler,asagi mah (cicekpinar koyu)
artvin,ardanuc,merkezkoyler,bahcelievler mah (kapikoy koyu)
giresun,dereli,merkezkoyler,baslak mah (pinarlar koyu)
usak,ulubey,merkezkoyler,merkez mah (kisla koyu)
sakarya,akyazi,merkez,kabakulak mah
agri,eleskirt,merkezkoyler,harebegul mah (aydogdu koyu)
hatay,kirikhan,merkez,gazi mah
karabuk,eflani,merkezkoyler,kocek mah (kavak koyu)
denizli,pamukkale,karsiyaka,karakurt mah
bolu,mudurnu,merkezkoyler,hacimusalar mah (hacimusalar koyu)
agri,diyadin,merkezkoyler,asagiakpazar koyu
batman,besiri,merkezkoyler,cakilli koyu
sivas,merkez,merkez-koyler,kadirogullari mah (zengi koyu)
diyarbakir,bismil,merkez,guzelkoy mah
diyarbakir,baglar,alipinar,uzunbahce mah
diyarbakir,kayapinar,merkez,taban mah
trabzon,vakfikebir,merkez,ilyasli mah
diyarbakir,hani,merkez,zirve mah
amasya,tasova,merkez,dogu mah
ankara,beypazari,merkez,gazipasa mah
kahramanmaras,turkoglu,merkez,kizilenis mah
kastamonu,azdavay,merkezkoyler,orcun mah (kozluoren koyu)
bolu,merkez,merkezkoyler,karsiyaka mah (musluklar koyu)
kastamonu,daday,merkezkoyler,merkez mah (sarpun koyu)
adiyaman,besni,cakirhuyuk,yazibeydili koyu
bartin,merkez,kozcagiz,merkez mah (sofular koyu)
giresun,tirebolu,merkezkoyler,kayaboynu mah (atakoy koyu)
kars,merkez,merkezkoyler,karacoban koyu
tunceli,mazgirt,merkezkoyler,ismailli koyu
elazig,merkez,harput,kaplikaya mah (kaplikaya koyu)
erzurum,aziziye,ilica,demirgecit mah
artvin,yusufeli,merkezkoyler,dere mah (yamacustu koyu)
malatya,hekimhan,merkez,mollaibrahim mah
karabuk,safranbolu,merkezkoyler,merkez mah (harmancik koyu)
agri,taslicay,merkezkoyler,asagiesen koyu
antalya,kas,kalkan,palamut mah
kirklareli,luleburgaz,merkez,dere mah
tunceli,nazimiye,merkezkoyler,dagdibi mah (yayikagil koyu)
sinop,merkez,merkezkoyler,merkez mah (kabali koyu)
bitlis,mutki,geyikpinar,sivrice mah (tolgali koyu)
yozgat,akdagmadeni,merkezkoyler,cardak koyu
trabzon,akcaabat,merkez,aydinkoy mah
izmir,tire,merkez,sarilar mah
sinop,merkez,merkezkoyler,tepecik mah (erikli koyu)
siirt,sirvan,ozpinar,belencay koyu
kastamonu,kure,merkezkoyler,hatip mah (afsarguney koyu)
samsun,havza,merkez,yaylacati mah
istanbul,sariyer,istinye,istinye mah
mersin,erdemli,merkez,gucus mah
balikesir,edremit,akcay,tahtakuslar mah
batman,kozluk,merkezkoyler,karpuzlu mah
kastamonu,hanonu,merkezkoyler,cayli mah (bagdere koyu)
sinop,gerze,merkezkoyler,orta yamacik mah (yamacik koyu)
amasya,hamamozu,merkezkoyler,hidirlar koyu
ordu,kumru,merkez,kayabasi mah
karabuk,eflani,merkezkoyler,haciz oglu mah (pinarozu koyu)
sinop,duragan,merkezkoyler,catak mah (kirencik koyu)
izmir,bergama,merkez,pireveliler mah
rize,merkez,merkezkoyler,asagi mah (kucukkoy koyu)
erzincan,kemaliye,merkez,ishakpasa mah
manisa,akhisar,merkez,cumhuriyet mah
adana,saricam,osmangazi,yagizlar mah
corum,bayat,merkezkoyler,nazpinar mah (ahacik koyu)
corum,iskilip,merkezkoyler,kuzey mah (elmali koyu)
kirikkale,keskin,merkezkoyler,organize sanayi bolgesi mah (cankurtaran koyu)
gumushane,torul,merkezkoyler,yukari mh. (yurt koyu)
bingol,genc,merkezkoyler,merkez mah (mesedali koyu)
diyarbakir,baglar,alipinar,bagcilar mah
tokat,erbaa,merkezkoyler,dibek mah (akgun koyu)
sinop,merkez,merkezkoyler,balcilar mah (fidanlik koyu)
duzce,merkez,kalicikonutlar,camlievler mah
diyarbakir,lice,merkez,dallica mah
kastamonu,kure,merkezkoyler,merkez mah (burum koyu)
aydin,nazilli,merkez,hamidiye mah
giresun,sebinkarahisar,merkezkoyler,merkez mah (arslansah koyu)
hatay,kirikhan,merkez,sogutluoz mah
mus,malazgirt,merkezkoyler,karakaya koyu
gumushane,merkez,gumushane,oltanbey mah
kirsehir,cicekdagi,merkezkoyler,bahcelievler mah (koseli koyu)
sakarya,erenler,merkez,tabakhane mah
konya,selcuklu,bosna,yukaripinarbasi mah
konya,derebucak,merkez,musalla mah
konya,bozkir,merkez,caglayan mah
afyonkarahisar,cay,merkez,orta mah
manisa,saruhanli,merkez,pinarbasi mah
diyarbakir,cinar,merkez,fatih mah
giresun,yaglidere,merkezkoyler,seydili mah (elmabelen koyu)
kutahya,simav,merkezkoyler,gokcepinar mah (yesilkoy koyu)
sinop,boyabat,merkezkoyler,kirenlice mah (ardic koyu)
ardahan,posof,merkezkoyler,yayla evi mah (baykent koyu)
samsun,19 mayis,ondokuz mayis ballica,esentepe mah
kutahya,aslanapa,merkez,pinarbasi mah
nevsehir,derinkuyu,merkezkoyler,yukari mah (til koyu)
afyonkarahisar,cobanlar,merkez,golcuk mah
zonguldak,caycuma,persembe,asagikiyi mah (helvacilar koyu)
aksaray,merkez,carsi,laleli mah
zonguldak,caycuma,persembe,merkez mah (kizilbel koyu)
kastamonu,catalzeytin,merkezkoyler,yazicioglu mah (sirakonak koyu)
karaman,ayranci,merkez,musa mah
bitlis,hizan,merkezkoyler,otlu mah (harmandoven koyu)
izmir,karabaglar,hatay,arap hasan mah
sinop,dikmen,merkezkoyler,kadikoyu mah (kadikoy koyu)
cankiri,cerkes,merkezkoyler,merkez mah (kuzoren koyu)
manisa,sehzadeler,karakoy,bayindirlik mah
malatya,hekimhan,merkez,cimenlik mah
sinop,duragan,merkezkoyler,merkez mah (cerciler koyu)
samsun,asarcik,merkez,acisu mah
zonguldak,eregli,merkezkoyler,merkez mah (gebe koyu)
hakkari,cukurca,merkez,yesil cesme mah
antalya,gazipasa,merkez,esenpinar mah
bolu,seben,merkezkoyler,cirkinler yayla mah (dereboy koyu)
zonguldak,merkez,beycuma,muratli mah (beycuma koyu)
bolu,seben,merkezkoyler,kanduzla yayla mah (gokhaliller koyu)
tokat,merkez,merkezkoyler,yatmis koyu
mardin,derik,merkez,kayacik mah
afyonkarahisar,dinar,merkezkoyler,cumhuriyet koyu
van,gevas,merkez,dokuzagac mah
giresun,bulancak,merkezkoyler,kozluk mah (yalikoy koyu)
manisa,kula,merkez,yenikoy mah
ankara,cankaya,yenisehir,kultur mah
mardin,omerli,merkez,havuzbasi mah
bingol,solhan,merkezkoyler,cataldere mah (demirkapi koyu)
erzincan,refahiye,merkezkoyler,aydincik mah (kamberaga koyu)
bingol,kigi,merkezkoyler,akcali mah (billice koyu)
van,tusba,iskele,tabanli mah
corum,merkez,merkezkoyler,hacimusa koyu
ankara,haymana,merkez,gedik mah
konya,aksehir,istasyon,meydan mah
gaziantep,araban,merkez,gelinbugday mah
tunceli,nazimiye,merkezkoyler,dal mah (yukaridoluca koyu)
hatay,kirikhan,merkez,kizilkaya mah
mardin,mazidagi,merkez,karsiyaka mah
erzurum,askale,merkez,yesilova mah
kastamonu,daday,merkezkoyler,calca mah (boyalica koyu)
bursa,keles,merkez,koca kovacik mah
balikesir,ivrindi,sarica,erdel mah
nigde,merkez,afetevleri,yenice mah
trabzon,arakli,merkez,kopruustu mah
van,caldiran,merkez,cubuklu mah
istanbul,kucukcekmece,atakent,mehmet akif mah
elazig,karakocan,merkezkoyler,kengerli mah (yenikoy koyu)
bitlis,tatvan,yelkenli,emek mah (koprucuk koyu)
erzurum,askale,merkez,bozburun mah
kastamonu,arac,merkezkoyler,at seki mah (yukariyazi koyu)
bolu,yenicaga,merkezkoyler,yayla evleri mah (golbasi koyu)
ardahan,hanak,merkez,selam verdi mah
gaziantep,sehitkamil,merkez,turkyurdu mah
mugla,mentese,merkez,kiran mah
bilecik,pazaryeri,merkez,yeni mah
izmir,kiraz,merkez,tumbullar mah
bitlis,hizan,merkezkoyler,oztoprak mah (sarpkaya koyu)
zonguldak,caycuma,persembe,merkez mah (haciibadi koyu)
siirt,eruh,baggoze,erenkaya koyu
giresun,kesap,merkezkoyler,orta mah (karabulduk koyu)
ordu,kabatas,merkez,merkez mah
ankara,sereflikochisar,merkez,bogazici mah
canakkale,merkez,merkezkoyler,bodurlar koyu
giresun,tirebolu,merkezkoyler,ismailli mah (ozlu koyu)
canakkale,eceabat,merkezkoyler,goztepe mah (seddulbahir koyu)
elazig,merkez,mollakendi,golardisitesi-1 mah (golardi koyu)
tokat,zile,merkezkoyler,yeniderbent koyu
kastamonu,devrekani,merkezkoyler,merkez mah (elmalitekke koyu)
kastamonu,merkez,merkezkoyler,turhanli mah (terzi koyu)
bartin,ulus,merkezkoyler,kayralti mah (bugurlar koyu)
antalya,kas,merkez,sinneli mah
kayseri,kocasinan,valilik,sahabiye mah
konya,aksehir,istasyon,cay mah
afyonkarahisar,emirdag,merkezkoyler,sogukkuyu koyu
adiyaman,merkez,imamaga,kayalik mah
sinop,gerze,merkezkoyler,sindeli mah (kizilcali koyu)
zonguldak,devrek,merkezkoyler,terzioglu mah (mufettisler koyu)
adiyaman,kahta,merkezkoyler,dikmetas mah (yaprakli koyu)
diyarbakir,kayapinar,merkez,baris mah
nevsehir,merkez,merkezkoyler,acigol yolu mah (bogaz koyu)
hatay,altinozu,merkez,kansu mah
giresun,merkez,merkezkoyler,ayinca mah (kemaliye koyu)
antalya,konyaalti,liman,gokdere mah
kocaeli,kandira,merkez,esentepe mah
agri,diyadin,merkezkoyler,asagi koh mah (dedebulak koyu)
kastamonu,kure,merkezkoyler,yahya mah (guney koyu)
tunceli,hozat,merkezkoyler,faruklar mah (daloren koyu)
balikesir,dursunbey,hacilar,kavacik mah
sirnak,cizre,merkez,dag kapi mah
afyonkarahisar,merkez,sahipata,fatih mah
eskisehir,odunpazari,kanlipinar,yurukkaracaoren mah
antalya,manavgat,merkez,belenobasi mah
bartin,merkez,merkezkoyler,duzmevki mah (buyukkiran koyu)
bolu,goynuk,merkezkoyler,ilica mah (bayindir koyu)
van,tusba,iskele,ermisler mah
giresun,espiye,merkezkoyler,merkez mah (hacimahmutlu koyu)
manisa,demirci,merkez,bozcatli mah
mugla,yatagan,merkez,gokpinar mah
batman,gercus,merkezkoyler,haydarpasa mah (ardicli koyu)
yozgat,merkez,yozgat,capanoglu mah
yozgat,merkez,merkezkoyler,turkmen koyu
istanbul,beykoz,merkez,yalikoy mah
bingol,solhan,merkezkoyler,kosk mah (yenibasak koyu)
van,tusba,iskele,gulsunler mah
siirt,kurtalan,merkezkoyler,avcilar koyu
diyarbakir,egil,merkez,gurunlu mah
sinop,ayancik,merkezkoyler,merkez mah (golkoy koyu)
van,ercis,merkez,adnan menderes mah
kastamonu,arac,merkezkoyler,ciftci mah (alinoren koyu)
izmir,menemen,merkez,ulus mah
batman,kozluk,merkezkoyler,dovecik koyu
canakkale,bayramic,merkezkoyler,biyikli koyu
kastamonu,pinarbasi,merkezkoyler,kosekoy mah (kapanci koyu)
bolu,merkez,merkezkoyler,yolcati koyu
afyonkarahisar,hocalar,merkezkoyler,devrant mah (gure koyu)
izmir,konak,basmane,kocakapi mah
bursa,orhaneli,merkez,cinarcik mah
batman,sason,merkezkoyler,zornik mezra mah (tasyuva koyu)
yozgat,merkez,merkezkoyler,yesilova koyu
istanbul,sisli,okmeydani,mahmut sevket pasa mah
kars,kagizman,merkezkoyler,tomruktas koyu
mersin,tarsus,yolboyu,coplu mah
diyarbakir,cermik,merkez,komurculer mah
afyonkarahisar,emirdag,merkezkoyler,yarimca koyu
erzurum,hinis,merkez,sarili mah
adiyaman,kahta,akincilar,ulupinar koyu
bolu,gerede,merkezkoyler,merkez yaylasi mah (yukariovacik koyu)
adana,saricam,remzioguzarik,yavuz sultan selim mah
cankiri,ilgaz,merkezkoyler,asagimeydan koyu
sakarya,akyazi,merkez,kuzuluk mah
kastamonu,taskopru,merkezkoyler,akhasan mah (kapakli koyu)
kirikkale,yahsihan,merkezkoyler,yazi mevkii mah (hacibali koyu)
bilecik,merkez,merkezkoyler,ilyasca koyu
bursa,mustafakemalpasa,merkez,kosubogazi mah
osmaniye,kadirli,merkezkoyler,tatarli koyu
kilis,musabeyli,merkezkoyler,tahtalikaradut koyu
manisa,kula,merkez,korez mah
konya,meram,merkez,koycegiz mah
elazig,merkez,hankendi,yedievler mah (gokce koyu)
kastamonu,bozkurt,merkezkoyler,kadioglu mah (darsu koyu)
adiyaman,gerger,merkezkoyler,gomuk mah (agacli koyu)
kayseri,pinarbasi,merkez,serinyurt mah
samsun,atakum,merkez,kabaduz mah
konya,hadim,merkez,hocalar mah
mus,korkut,merkezkoyler,akyildiz koyu
hatay,payas,merkez,karsiosb mah
bolu,gerede,merkezkoyler,merkez mah (yeniyapar koyu)
samsun,atakum,kurupelit,yenimahalle mah
kutahya,altintas,merkezkoyler,sanliyurt koyu
gumushane,torul,merkezkoyler,koclar mh. (zigana koyu)
bilecik,golpazari,merkezkoyler,koprucek mah (koprucek koyu)
batman,merkez,carsi,meydan mah
tokat,erbaa,karayaka,dere mah (ortakoy koyu)
rize,ikizdere,merkezkoyler,koseli mah (cicekli koyu)
nevsehir,merkez,merkezkoyler,karsi mah (icik koyu)
rize,pazar,merkezkoyler,sarisi mevki mah (ornek koyu)
ankara,camlidere,merkez,doganci mah
batman,gercus,merkezkoyler,akarca mah (ardicli koyu)
canakkale,merkez,merkezkoyler,kemerdere mah (civler koyu)
samsun,kavak,merkez,muhsinli mah
yozgat,aydincik,merkezkoyler,guroglu koyu
antalya,korkuteli,merkez,derekoy mah
diyarbakir,ergani,merkez,azikli mah
kirsehir,cicekdagi,merkezkoyler,karaosman kumesi mah (besikli koyu)
kahramanmaras,onikisubat,suleymanli,ilica mah
mersin,mut,merkez,kirkkavak mah
giresun,eynesil,merkezkoyler,dere mah (yarimca koyu)
sakarya,serdivan,merkez,kazimpasa mah
kayseri,kocasinan,yeni mahalle,zumrut mah
yozgat,sefaatli,merkezkoyler,armagan koyu
cankiri,yaprakli,merkezkoyler,yamacbasi koyu
duzce,akcakoca,merkezkoyler,fakilli koyu
sinop,turkeli,merkezkoyler,guney mah (turhan koyu)
kastamonu,merkez,merkezkoyler,haylamaz mah (hatipli koyu)
bolu,mudurnu,merkezkoyler,guney mah (gelinozu koyu)
elazig,kovancilar,merkezkoyler,beyaz pinar mah (karincakoy koyu)
istanbul,bahcelievler,yenibosna,yenibosna merkez mah
sinop,dikmen,merkez,babalioglu mah
mersin,silifke,merkez,ozturkmenli mah
tokat,turhal,merkez,ray mah
hatay,kirikhan,merkez,dedecinar mah
giresun,sebinkarahisar,merkezkoyler,etir mah (ovacik koyu)
karabuk,yenice,merkezkoyler,cay mah (esenkoy koyu)
tokat,almus,merkezkoyler,gevrek mah (kinik koyu)
canakkale,biga,merkezkoyler,bekirli koyu
karabuk,eflani,merkezkoyler,kure mah (demirli koyu)
adiyaman,kahta,merkezkoyler,sinke mah (bogazkaya koyu)
mus,merkez,merkezkoyler,asagisizma koyu
ankara,etimesgut,30agustos,suvari mah
gumushane,kurtun,merkezkoyler,alantarla mah (elmali koyu)
cankiri,ilgaz,merkez,fatih mah
bursa,inegol,merkez,kucukyenice mah
elazig,sivrice,merkezkoyler,ali topal mah (topalusagi koyu)
elazig,merkez,merkezkoyler,degirmendere mah (seyhhaci koyu)
samsun,vezirkopru,merkez,ahmetbaba mah
artvin,merkez,merkezkoyler,atanasur mah (ortakoy koyu)
giresun,merkez,merkezkoyler,kargaoglu mah (darikoy koyu)
zonguldak,devrek,merkezkoyler,agalar mah (mahmutoglu koyu)
giresun,kesap,merkezkoyler,alin mah (dokuztepe koyu)
kilis,elbeyli,merkez,agyuz mah
mus,varto,caylar,kucuktepe koyu
nevsehir,gulsehir,merkezkoyler,ismailusagi mah (eskiyaylacik koyu)
sanliurfa,eyyubiye,merkez,nadire mah
bartin,merkez,kozcagiz,ciddimoglu mah (akbas koyu)
konya,cihanbeyli,merkez,ahiriguzel mah
adiyaman,kahta,merkezkoyler,sirinevler mah (karadut koyu)
kastamonu,merkez,merkezkoyler,cal mah (cakilli koyu)
kastamonu,daday,merkezkoyler,haci mah (bezirkan koyu)
artvin,yusufeli,merkezkoyler,basilet mah (demirdoven koyu)
rize,merkez,merkezkoyler,dere basi mah (elmali koyu)
karaman,ermenek,merkezkoyler,camlica koyu
karabuk,merkez,besbinevler,5000 evler 75.yil mah
mus,merkez,merkezkoyler,15 temmuz milli irade mah
isparta,keciborlu,merkezkoyler,camii kebir mah (aydogmus koyu)
gumushane,torul,merkezkoyler,ortova mah (kopuz koyu)
istanbul,sariyer,rumelihisari,rumeli hisari mah
karabuk,yenice,merkezkoyler,tirpolu mah (senkoy koyu)
konya,selcuklu,merkez,calti mah
zonguldak,gokcebey,merkez,onmayis mah
diyarbakir,yenisehir,sehitlik,dokuzceltik mah
sivas,merkez,merkez-koyler,kolluca koyu
kars,kagizman,merkezkoyler,komurlu koyu
erzincan,cayirli,merkezkoyler,sariguney koyu
giresun,alucra,merkezkoyler,kucuk mah (kokluce koyu)
amasya,gumushacikoy,merkezkoyler,alicli cukur mah (sarayozu koyu)
bingol,merkez,merkezkoyler,direkli koyu
gaziantep,sahinbey,merkez,kayakent mah
sivas,zara,merkezkoyler,osmaniye koyu
bartin,merkez,merkezkoyler,huseyinpasaoglu mah (cakirkadi koyu)
samsun,kavak,merkez,demirci mah
erzincan,cayirli,merkezkoyler,esendoruk koyu
tokat,erbaa,karayaka,sirt mah (ortakoy koyu)
gaziantep,sehitkamil,merkez,akcagoze mah
erzincan,uzumlu,merkezkoyler,ahmetaga mah (kureyslisarikaya koyu)
